modelo,accuracy,precision,recall,f1
Regresión Logística,0.965,0.9650445632798573,0.965,0.9649863177272501
SVM,0.89,0.8903477565801691,0.89,0.8898991799372845
Random Forest,0.88,0.8804702799211492,0.88,0.8801800303033377
